post_id,food_id,rating
5,178249,5
6,178249,5
7,178249,5
8,178249,5
9,178249,5
2,293197,5
3,293197,5
4,293197,5
5,293197,0
6,293197,5
1,487593,5
2,487593,5
3,487593,5
4,487593,5
5,487593,5
1,47961,5
2,47961,5
3,47961,4
4,47961,5
5,47961,5
1,229948,5
2,229948,5
3,229948,3
4,229948,5
5,229948,5
2,158351,5
3,158351,5
4,158351,5
5,158351,0
6,158351,5
1,537248,4
2,537248,5
3,537248,5
1,138183,5
2,138183,5
3,138183,5
4,138183,5
5,138183,5
1,428004,0
2,428004,5
3,428004,5
4,428004,5
5,428004,5
2,12684,5
3,12684,0
4,12684,4
5,12684,5
6,12684,5
1,536387,5
2,536387,5
1,131988,3
2,131988,5
3,131988,5
4,131988,5
5,131988,5
1,299973,5
2,299973,4
3,299973,4
4,299973,0
5,299973,5
2,304166,5
3,304166,5
4,304166,5
5,304166,4
6,304166,5
1,39195,5
2,39195,1
3,39195,5
4,39195,5
5,39195,5
1,382432,5
2,382432,5
3,382432,5
4,382432,0
5,382432,5
1,111865,5
2,111865,0
3,111865,5
4,111865,5
5,111865,5
2,220089,5
3,220089,4
4,220089,5
5,220089,5
6,220089,5
1,316925,0
2,316925,5
3,316925,5
4,316925,5
5,316925,5
1,280466,5
2,280466,4
3,280466,5
4,280466,5
5,280466,5
3,81419,5
4,81419,5
5,81419,5
6,81419,4
7,81419,5
1,514034,5
3,379639,5
4,379639,5
5,379639,5
6,379639,5
7,379639,5
1,364493,5
2,364493,5
3,364493,5
4,364493,4
5,364493,5
2,156662,5
3,156662,5
4,156662,5
5,156662,5
6,156662,4
1,183768,5
2,183768,4
3,183768,5
4,183768,5
5,183768,5
1,455488,5
2,455488,5
3,455488,5
4,455488,5
5,455488,0
3,82509,5
4,82509,4
5,82509,0
1,182935,5
2,182935,4
3,182935,5
4,182935,5
5,182935,5
1,244722,0
2,244722,4
3,244722,5
4,244722,3
5,244722,5
1,220025,4
2,220025,5
3,220025,5
4,220025,5
5,220025,5
2,131972,5
3,131972,5
4,131972,5
5,131972,5
6,131972,5
1,323422,5
2,323422,5
3,323422,5
4,323422,4
5,323422,5
1,221237,5
2,221237,5
3,221237,5
4,221237,5
5,221237,5
1,8892,4
2,8892,5
3,8892,5
4,8892,4
5,8892,5
1,317056,5
2,317056,5
3,317056,5
4,317056,5
5,317056,5
1,179813,5
2,179813,5
3,179813,5
4,179813,5
5,179813,5
1,7968,4
2,7968,5
3,7968,5
4,7968,5
5,7968,5
1,243354,5
2,243354,4
3,243354,5
4,243354,5
5,243354,5
1,84978,5
2,84978,5
3,84978,5
4,84978,5
5,84978,5
1,290384,5
2,290384,5
3,290384,5
4,290384,5
5,290384,5
1,304676,0
2,304676,5
3,304676,5
4,304676,5
5,304676,5
2,214004,5
3,214004,5
4,214004,0
5,214004,5
6,214004,5
1,70005,4
2,70005,5
3,70005,5
4,70005,4
5,70005,5
