title,year,type,episode_count,studio
fullmetal alchemist,2003,tv,51,bones
fullmetal alchemist: brotherhood,2009,tv,64,bones
fullmetal alchemist: brotherhood: 4-koma theater,2009,dvd special,16,bones
boruto: naruto next generations,2017,tv,293,pierrot
boruto: naruto the movie,2015,movie,1,pierrot
boruto: naruto the movie - the day naruto became hokage,2016,dvd special,1,pierrot
death note,2006,tv,37,madhouse
death note rewrite 1: visions of a god,2007,tv special,1,madhouse
death note rewrite 2: l's successors,2008,tv special,1,madhouse
naruto,2002,tv,220,pierrot
naruto shippuden,2007,tv,500,pierrot
naruto spin-off: rock lee & his ninja pals,2012,tv,51,pierrot
road of naruto,2022,web,1,pierrot
boruto: jump festa 2016 special,2016,other,1,pierrot
my hero academia,2016,tv,13,bones
my hero academia 2,2017,tv,25,bones
my hero academia 3,2018,tv,25,bones
code geass: dakkan no rozé,2024,other,25,sunrise
code geass: lelouch of the rebellion,2006,tv,25,sunrise
code geass: lelouch of the rebellion iii - glorification,2018,movie,1,sunrise
naruto: hidden leaf village grand sports festival!,2004,tv special,1,pierrot
sword art online,2012,tv,25,a-1 pictures
sword art online: alicization - war of underworld,2019,tv,12,a-1 pictures
sword art online: alicization - war of underworld: part ii,2020,tv,11,a-1 pictures
20-pun de oitsukeru: attack on titan,2021,web,1,wit studio
attack on skytree,2017,other,1,wit studio
attack on titan,2013,tv,25,wit studio
soul eater,2008,tv,51,bones
soul eater: late night show,2008,other,51,bones
school days,2007,tv,12,tnk
school days: magical heart kokoro-chan,2008,ova,1,tnk
school days ona,2005,web,1,animation planet
eromanga sensei,2017,tv,12,a-1 pictures
he wei dao x sword art online: alicization,2019,other,1,a-1 pictures
sword art online: extra edition,2013,tv special,1,a-1 pictures
highschool of the dead,2010,tv,12,madhouse
bleach,2004,tv,366,pierrot
bleach: memories in the rain,2004,ova,1,pierrot
bleach movie 1: memories of nobody,2006,movie,1,pierrot
the rising of the shield hero,2019,tv,25,kinema citrus
the rising of the shield hero 2nd season,2022,tv,13,dr movie
the rising of the shield hero 3rd season,2023,tv,12,kinema citrus
hungry days x one piece,2019,web,4,shaft
one piece,1999,tv,4,toei animation
one piece 3d2y: overcoming ace's death! luffy's pledge to his friends!,2014,tv special,1,toei animation
future diary,2011,tv,26,asread
future diary ova,2010,ova,1,asread
future diary: redial,2013,ova,1,asread
code geass: akito the exiled,2012,ova,5,sunrise
hungry days x bump of chicken: kinen satsuei,2019,music video,1,sunrise
bleach: the sealed sword frenzy,2005,ova,1,pierrot
bleach: thousand-year blood war,2022,tv,13,pierrot
tokyo ghoul,2014,tv,12,pierrot
tokyo ghoul: jack,2015,ova,1,pierrot
tokyo ghoul:re 2nd season,2018,tv,12,pierrot
attack on titan 2nd season,2017,tv,12,wit studio
"arceus, the one called god",2022,web,4,olm
a ripple in time,2022,web,1,olm
planetarium pokémon: aurora kara no message,2020,movie,1,olm
claris: luminous,2012,music video,1,olm
magia record: puella magi madoka magica side story,2020,tv,13,shaft
magia record: puella magi madoka magica side story season 2 - the eve of awakening,2021,tv,8,shaft
kyuutai panic adventure!,2003,other,2,shaft
sword art online: alicization,2018,tv,24,a-1 pictures
sword art online: alicization - reflection,2019,tv special,1,a-1 pictures
one piece: episode of merry - mou hitori no nakama no monogatari,2013,tv special,1,toei animation
one piece film: gold,2016,movie,1,toei animation
a silent voice,2016,movie,1,kyoto animation
ai higuchi: akuma no ko,2022,music video,1,contrail
tokyo ghoul √a,2015,tv,12,pierrot
akame ga kill!,2014,tv,24,white fox
akame ga kill! theater,2014,web,24,white fox
fruits basket,2001,tv,26,studio deen
fruits basket 1st season,2019,tv,25,8 pan
fruits basket 2nd season,2020,tv,25,tms entertainment
ouran high school host club,2006,tv,26,bones
