anime_title,anime_year,char_name
fullmetal alchemist,2003,shou tucker
fullmetal alchemist: brotherhood,2009,shou tucker
fullmetal alchemist: brotherhood: 4-koma theater,2009,shou tucker
boruto: naruto next generations,2017,sakura haruno
boruto: naruto the movie,2015,sakura haruno
boruto: naruto the movie - the day naruto became hokage,2016,sakura haruno
death note,2006,light yagami
death note rewrite 1: visions of a god,2007,light yagami
death note rewrite 2: l's successors,2008,light yagami
boruto: naruto next generations,2017,sasuke uchiha
boruto: naruto the movie,2015,sasuke uchiha
naruto,2002,sasuke uchiha
naruto shippuden,2007,danzo shimura
naruto spin-off: rock lee & his ninja pals,2012,danzo shimura
road of naruto,2022,danzo shimura
boruto: naruto next generations,2017,naruto uzumaki
boruto: naruto the movie,2015,naruto uzumaki
boruto: jump festa 2016 special,2016,naruto uzumaki
death note,2006,misa amane
death note rewrite 1: visions of a god,2007,misa amane
death note rewrite 2: l's successors,2008,misa amane
death note,2006,near
death note rewrite 2: l's successors,2008,near
my hero academia,2016,minoru mineta
my hero academia 2,2017,minoru mineta
my hero academia 3,2018,minoru mineta
death note,2006,l
death note rewrite 1: visions of a god,2007,l
death note rewrite 2: l's successors,2008,l
code geass: dakkan no rozé,2024,nina einstein
code geass: lelouch of the rebellion,2006,nina einstein
code geass: lelouch of the rebellion iii - glorification,2018,nina einstein
boruto: naruto next generations,2017,kabuto yakushi
naruto,2002,kabuto yakushi
naruto: hidden leaf village grand sports festival!,2004,kabuto yakushi
sword art online,2012,nobuyuki sugou
sword art online: alicization - war of underworld,2019,nobuyuki sugou
sword art online: alicization - war of underworld: part ii,2020,nobuyuki sugou
death note,2006,mello
death note rewrite 2: l's successors,2008,mello
boruto: naruto next generations,2017,orochimaru
naruto,2002,orochimaru
naruto: hidden leaf village grand sports festival!,2004,orochimaru
fullmetal alchemist,2003,edward elric
fullmetal alchemist: brotherhood,2009,edward elric
fullmetal alchemist: brotherhood: 4-koma theater,2009,edward elric
20-pun de oitsukeru: attack on titan,2021,levi
attack on skytree,2017,levi
attack on titan,2013,levi
soul eater,2008,excalibur
soul eater: late night show,2008,excalibur
school days,2007,makoto itou
school days: magical heart kokoro-chan,2008,makoto itou
school days ona,2005,makoto itou
sword art online,2012,kirito
eromanga sensei,2017,kirito
he wei dao x sword art online: alicization,2019,kirito
sword art online,2012,kuradeel
sword art online: alicization - war of underworld: part ii,2020,kuradeel
sword art online: extra edition,2013,kuradeel
highschool of the dead,2010,kouichi shido
bleach,2004,orihime inoue
bleach: memories in the rain,2004,orihime inoue
bleach movie 1: memories of nobody,2006,orihime inoue
the rising of the shield hero,2019,malty s melromarc
the rising of the shield hero 2nd season,2022,malty s melromarc
the rising of the shield hero 3rd season,2023,malty s melromarc
hungry days x one piece,2019,akainu
one piece,1999,akainu
one piece 3d2y: overcoming ace's death! luffy's pledge to his friends!,2014,akainu
future diary,2011,yukiteru amano
future diary ova,2010,yukiteru amano
future diary: redial,2013,yukiteru amano
code geass: lelouch of the rebellion,2006,charles zi britannia
code geass: lelouch of the rebellion iii - glorification,2018,charles zi britannia
code geass: akito the exiled,2012,charles zi britannia
hungry days x one piece,2019,blackbeard
one piece,1999,blackbeard
hungry days x bump of chicken: kinen satsuei,2019,blackbeard
bleach,2004,sousuke aizen
bleach: the sealed sword frenzy,2005,sousuke aizen
bleach: thousand-year blood war,2022,sousuke aizen
tokyo ghoul,2014,yamori
tokyo ghoul: jack,2015,yamori
tokyo ghoul:re 2nd season,2018,yamori
fullmetal alchemist,2003,gluttony
fullmetal alchemist: brotherhood,2009,gluttony
fullmetal alchemist: brotherhood: 4-koma theater,2009,gluttony
code geass: lelouch of the rebellion,2006,suzaku kururugi
code geass: lelouch of the rebellion iii - glorification,2018,suzaku kururugi
code geass: akito the exiled,2012,suzaku kururugi
boruto: naruto next generations,2017,kakashi hatake
boruto: naruto the movie,2015,kakashi hatake
boruto: naruto the movie - the day naruto became hokage,2016,kakashi hatake
20-pun de oitsukeru: attack on titan,2021,kitz woermann
attack on titan,2013,kitz woermann
attack on titan 2nd season,2017,kitz woermann
fullmetal alchemist,2003,envy
fullmetal alchemist: brotherhood,2009,envy
fullmetal alchemist: brotherhood: 4-koma theater,2009,envy
fullmetal alchemist,2003,king bradley
fullmetal alchemist: brotherhood,2009,king bradley
fullmetal alchemist: brotherhood: 4-koma theater,2009,king bradley
"arceus, the one called god",2022,ash ketchum
a ripple in time,2022,ash ketchum
planetarium pokémon: aurora kara no message,2020,ash ketchum
claris: luminous,2012,kyubey
magia record: puella magi madoka magica side story,2020,kyubey
magia record: puella magi madoka magica side story season 2 - the eve of awakening,2021,kyubey
hungry days x one piece,2019,arlong
hungry days x bump of chicken: kinen satsuei,2019,arlong
kyuutai panic adventure!,2003,arlong
sword art online,2012,asuna yuuki
sword art online: alicization,2018,asuna yuuki
sword art online: alicization - reflection,2019,asuna yuuki
one piece,1999,spandam
one piece: episode of merry - mou hitori no nakama no monogatari,2013,spandam
one piece film: gold,2016,spandam
a silent voice,2016,naoka ueno
20-pun de oitsukeru: attack on titan,2021,eren jaeger
attack on skytree,2017,eren jaeger
ai higuchi: akuma no ko,2022,eren jaeger
tokyo ghoul,2014,kureo mado
tokyo ghoul:re 2nd season,2018,kureo mado
tokyo ghoul √a,2015,kureo mado
boruto: naruto next generations,2017,karin
naruto shippuden,2007,karin
naruto spin-off: rock lee & his ninja pals,2012,karin
future diary,2011,yuno gasai
future diary ova,2010,yuno gasai
future diary: redial,2013,yuno gasai
20-pun de oitsukeru: attack on titan,2021,annie leonhart
attack on titan,2013,annie leonhart
ai higuchi: akuma no ko,2022,annie leonhart
akame ga kill!,2014,seryu ubiquitous
akame ga kill! theater,2014,seryu ubiquitous
boruto: naruto next generations,2017,ino yamanaka
boruto: naruto the movie,2015,ino yamanaka
boruto: naruto the movie - the day naruto became hokage,2016,ino yamanaka
fruits basket,2001,akito sohma
fruits basket 1st season,2019,akito sohma
fruits basket 2nd season,2020,akito sohma
ouran high school host club,2006,eclair tonerre
